zone_name,time_15min,people_count,temperature,humidity,rain,wind_speed,date,hour,minute,day_of_week,is_weekend,is_public_holiday,holiday_name,before_holiday,after_holiday,above_2000,is_event_day,event_name,day_category,lag_1,lag_4,lag_96,lag_672,rolling_mean_1h,rolling_mean_4h,rolling_std_1h,is_sunday,hour_weekend,hour_holiday,hour_sin,hour_cos,rain_weekend,temp_weekend,is_school_holiday,day_name
Sandstraße,2023-05-12 02:30:00,1,10.4,90,0.1,9.6,2023-05-12,2,30,4,0,0,No_Holiday,0,0,0,0,No_Event,Weekday,1.0,1.0,1.0,7.0,1.0,1.0,0.0,0,0,0,0.49999999999999994,0.8660254037844387,0.0,0.0,0,Fri
Sandstraße,2023-05-12 02:45:00,1,10.4,90,0.1,9.6,2023-05-12,2,45,4,0,0,No_Holiday,0,0,0,0,No_Event,Weekday,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0,0,0,0.49999999999999994,0.8660254037844387,0.0,0.0,0,Fri
Sandstraße,2023-05-12 03:15:00,1,10.2,89,0.0,10.7,2023-05-12,3,15,4,0,0,No_Holiday,0,0,0,0,No_Event,Weekday,1.0,1.0,1.0,5.0,1.0,1.0,0.0,0,0,0,0.7071067811865475,0.7071067811865476,0.0,0.0,0,Fri
Sandstraße,2023-05-12 03:45:00,1,10.2,89,0.0,10.7,2023-05-12,3,45,4,0,0,No_Holiday,0,0,0,0,No_Event,Weekday,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0,0,0,0.7071067811865475,0.7071067811865476,0.0,0.0,0,Fri
Sandstraße,2023-05-12 04:00:00,1,10.2,89,0.0,11.7,2023-05-12,4,0,4,0,0,No_Holiday,0,0,0,0,No_Event,Weekday,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0,0,0,0.8660254037844386,0.5000000000000001,0.0,0.0,0,Fri
Sandstraße,2023-05-12 04:15:00,1,10.2,89,0.0,11.7,2023-05-12,4,15,4,0,0,No_Holiday,0,0,0,0,No_Event,Weekday,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0,0,0,0.8660254037844386,0.5000000000000001,0.0,0.0,0,Fri
Sandstraße,2023-05-12 04:30:00,1,10.2,89,0.0,11.7,2023-05-12,4,30,4,0,0,No_Holiday,0,0,0,0,No_Event,Weekday,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0,0,0,0.8660254037844386,0.5000000000000001,0.0,0.0,0,Fri
Sandstraße,2023-05-12 04:45:00,1,10.2,89,0.0,11.7,2023-05-12,4,45,4,0,0,No_Holiday,0,0,0,0,No_Event,Weekday,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0.8660254037844386,0.5000000000000001,0.0,0.0,0,Fri
Sandstraße,2023-05-12 05:00:00,1,10.8,88,0.0,11.4,2023-05-12,5,0,4,0,0,No_Holiday,0,0,0,0,No_Event,Weekday,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0,0,0,0.9659258262890683,0.25881904510252074,0.0,0.0,0,Fri
Sandstraße,2023-05-12 05:15:00,1,10.8,88,0.0,11.4,2023-05-12,5,15,4,0,0,No_Holiday,0,0,0,0,No_Event,Weekday,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0.9659258262890683,0.25881904510252074,0.0,0.0,0,Fri
